problem_name,method,seed,iteration,acq_type,acq_value,acq_label,candidate_x,new_y_model_space,new_y_minimization,posterior_mean,posterior_std,train_size,parego_weights,parego_probe_max,evaluations,hypervolume,ideal_hypervolume,normalized_hypervolume,gd,igd,spacing,coverage,pareto_size,best_f1,best_f2,elapsed_sec,device,difficulty,family,description,n_var,n_obj
zdt3,ParEGO,0,40,ParEGO,-11.127325252456814,qLogNEI,"[0.03265492110412671, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.03265492110412671, -0.7913676647029813]","[0.03265492110412671, 0.7913676647029813]","[-0.03202761211596217, -0.7910268832193472]","[0.0014669035849253578, 0.01104047402069351]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.44019112656959],60,0.5645862155066558,1.0902681924052398,0.5178415911236689,0.017079117453276924,0.1715024922552097,0.10813184389174499,0.9083041422518534,14,0.0,-0.4481478269480911,359.0759192000005,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,ParEGO,1,40,ParEGO,-11.390219418207549,qLogNEI,"[1.2457097455728563e-16, 0.0, 0.05396739248388599, 0.0, 0.0, 0.0]","[-1.2457097455728563e-16, -1.0971412947803163]","[1.2457097455728563e-16, 1.0971412947803163]","[-0.0005231846135280716, -1.098744213316129]","[0.001805128546094524, 0.11069731261352439]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-37.70972332228964],60,0.6659014758369259,1.0902681924052398,0.6107685067541787,0.021661276914663245,0.1782816173506495,0.09087720530682653,0.7265147892821735,6,0.0,-0.2591226020707358,322.87330510000083,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,ParEGO,2,40,ParEGO,-9.240814476695254,qLogNEI,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[-0.0, -4.6]","[0.0, 4.6]","[-0.030359916957112654, -4.203469310746038]","[0.04895391237693951, 1.0712336840538508]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-12.845127778578993],60,0.6337688175522883,1.0902681924052398,0.5812962553315726,0.08477974153790908,0.29669061132002655,0.06278465854452275,0.5464340898352212,9,0.0,-0.014277723496312828,365.0383561999997,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,ParEGO,3,40,ParEGO,-11.099867332399409,qLogNEI,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[-0.0, -4.6]","[0.0, 4.6]","[-0.030431250940297083, -3.5806480483229572]","[0.05004699732289958, 0.9829186639509354]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.0553576737014],60,0.7136466224097519,1.0902681924052398,0.6545606185532906,0.0037369654608141803,0.22960857419964786,0.04655245334670736,0.5829402832721469,6,0.0,-0.12410512564470372,311.98239469999953,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,ParEGO,4,40,ParEGO,-9.605683348245943,qLogNEI,"[0.022151566630664293, 0.0, 0.0, 0.05624029339411397, 0.0, 0.0]","[-0.022151566630664293, -0.9308456079021384]","[0.022151566630664293, 0.9308456079021384]","[-0.020705694463666435, -1.0624094774615989]","[0.002413015957085739, 0.1123993426657529]",60,"[[0.8496929133858268, 0.15030708661417325]]",[-38.343386194215604],60,0.70833122652953,1.0902681924052398,0.6496853081321955,0.02175882297624106,0.13098784207562564,0.06786805144220182,0.9099244564373496,7,0.0,-0.45389465688167546,398.8747800000001,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,qEHVI,0,40,qEHVI,0.008343440777528986,qEHVI,"[0.0, 0.2612001236196594, 0.0, 1.0, 0.4371723766085105, 0.0]","[-0.0, -4.057070500410706]","[0.0, 4.057070500410706]","[0.0005479074164410902, -4.008847485421747]","[0.0073584690264219335, 0.335873153318028]",60,,,60,0.5800193394877207,1.0902681924052398,0.5319969375683065,0.02669785252983109,0.16377728055790997,0.06824720810068649,0.7491900504781389,5,0.0,-0.33954782073019096,343.5614682000005,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,qEHVI,1,40,qEHVI,0.00797473201189481,qEHVI,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[-0.0, -4.6]","[0.0, 4.6]","[-0.008520088506804885, -4.038063707056855]","[0.017921835685154645, 0.5848568718961905]",60,,,60,0.5179170551296636,1.0902681924052398,0.47503637979852203,0.03344521402406409,0.17870718596781057,0.17876900695311457,0.7777320264400095,5,0.0,-0.42216487231927213,358.0631913999996,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,qEHVI,2,40,qEHVI,0.011814249303879667,qEHVI,"[0.0, 0.0, 0.8944388732601296, 0.0, 1.0, 0.7916651077275954]","[-0.0, -5.834987165777905]","[0.0, 5.834987165777905]","[-0.008370186947528585, -5.1553122313665884]","[0.024738780162264957, 0.6873426851022557]",60,,,60,0.4726596600974681,1.0902681924052398,0.4335260474349289,0.02629730451698696,0.2585011758635661,0.10621231595811652,0.5839808950291784,4,0.0,-0.10963530466193366,306.8357741999989,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,qEHVI,3,40,qEHVI,0.014080451468976699,qEHVI,"[0.21432537201598273, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.21432537201598273, -0.4438143144138578]","[0.21432537201598273, 0.4438143144138578]","[-0.21505729321405337, -0.5908370389474622]","[0.003993803559181348, 0.044987848434422176]",60,,,60,0.5425498317621579,1.0902681924052398,0.49762969840039006,0.1554730235311522,0.28104013070623796,0.08835545932018671,0.8292404483634889,8,0.0,-0.16772961746468093,378.0438997000001,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
zdt3,qEHVI,4,40,qEHVI,0.011361491825780237,qEHVI,"[0.0, 0.3065436589967671, 0.0, 0.2775203082368685, 0.36428910134251175, 1.0]","[-0.0, -4.507035523437065]","[0.0, 4.507035523437065]","[0.0017632522647504367, -4.428975421063576]","[0.008362032280764351, 0.37311933500067496]",60,,,60,0.6544170290042426,1.0902681924052398,0.6002349087709637,0.024004334127394108,0.15660888019595334,0.0447210413923882,0.75111293670449,5,0.0,-0.3453243283495031,345.83327889999964,cpu,medium,ZDT,Разрывный фронт Парето с несколькими несвязными сегментами.,6,2
